question,coarse,fine
Why do the police let Jamal go?,DESC,reason
Why does Monsieur Delmont have everyone have sex with his daughter?,DESC,reason
Why did the Chartered Zarathustra Corporation lose their charter?,DESC,reason
"Why did Sophia go to Russia with Alexei, instead of John?",DESC,reason
What punishment was decided for mak?,DESC,desc
What danger did Ripley face immediately after the colony was destroyed by the nuclear blast?,DESC,desc
What does Bourne find inside the safety deposit box?,DESC,desc
Who is Lucas?,HUM,ind
Why does Leo's family not care about his objection to Bob and Lily's wedding?,DESC,reason
Why does Enid have to attend a remedial art class to get her diploma?,DESC,reason
What does the crew find when they spy on Coffey with the remote operated vehicle?,DESC,desc
What gesture moves Dr. Boekman to perform Mr. Brinker's surgery for free?,DESC,desc
What is the conflict regarding money between Prong and Mrs. Prime?,DESC,desc
What do Duroy's colleagues do that drive him mad?,DESC,desc
How does Jackie prevent Ordell from killing her?,DESC,manner
What is the main focus of the story?,DESC,desc
What was Lincoln worried about at the beginning of the story?,DESC,desc
Why do Jude and Sue end up having to move around from place to place?,DESC,reason
Where are the tears?,DESC,desc
How was Cole brought into the present of the story?,DESC,manner
Why does the narrator begin to fear for his safety?,DESC,reason
"What do Captain McBane, Major Carteret and General Belmont do the night of the elections?",DESC,desc
What would happen if Renard were to insert the plutonium into the Submarine's nuclear reactor?,DESC,desc
Why does Bella have sex with Father Ambrose?,DESC,reason
What does Tito learn from Fra Luca?,DESC,desc
Why are Roy Glenister and Dextry headed to the Alaska Territory?,DESC,reason
Briefly describe Gloria and Anthony's relationship?,DESC,desc
"How is ""Heaven"" represented in the story?",DESC,desc
"With Bill out as Chairman, what does Drew do?",DESC,desc
What did Clayton do when James detailed his past sexual exploits?,DESC,desc
How do Edward and Viviian first meet?,DESC,manner
Why do Kathleen and Joe cross paths in real life?,DESC,reason
Where do Bob and Charlotte share their final goodbye?,LOC,other
"What is the ""Tasty Freaks Machine""?",DESC,desc
What has King Valoroso stolen from Prince Bulbo?,DESC,desc
Why has Truman never left the confines of Seahaven?,DESC,reason
Why was Boaz kind to Ruth in the first place?,DESC,reason
Why do Moco's hit men let Azul go?,DESC,reason
Although says he will never forgive Nina what does he promise to do?,DESC,desc
What prevents either side from actually fighting during the war?,DESC,reason
What does Hartill do to Durand?,DESC,desc
Why did Myles and the other men form Twenty Knights of the Rose?,DESC,reason
How does Cal frame Jack?,DESC,manner
What is the root of the young man's self-destructive behavior?,DESC,desc
Why does Lilly claim Roy literally does not have the stomach for the grift?,DESC,reason
What is Ray Embrey pitching before he meets John Hancock?,DESC,desc
"At the end of the story, how did God come and visit Martin?",DESC,manner
How does Jerry die?,DESC,manner
Who is Latika?,HUM,ind
How is Monsieur Delmont tricked into sleeping with his own daughter?,DESC,manner
What happens when Androcles is captured?,DESC,desc
How does Alan help Kurt with his plan?,DESC,manner
When does Paul receive John's supernatural energy?,NUM,period
"When Onegin and Tatyana meet in person, what explanation does Onegin give to Tatyana for his rejection of her?  ",DESC,desc
"On the next day, what information does Willard receive via dispatch?",DESC,desc
"Why is Melange ""The Spice"" so valuable?",DESC,reason
"It takes Harry several tries to get Robspierre to release Marie, what finally gets Robspierre to release her? ",DESC,reason
Why is Hoopdriver's tour of the Southern Coast important to him?,DESC,reason
Why was Jeff Lebowski assaulted in his home?,DESC,reason
Why does Dr. Boekman provide the surgery for free?,DESC,reason
Why does Katherine abuse her twins and raise them as if they were one person?,DESC,reason
How does Max's break through the siege end?,DESC,manner
What does Fenice do to make it possible for her and Cliges run off together after they have fallen in love?,DESC,desc
What happened when Gabriel and Bathsheba met second time?,DESC,desc
Why does the Lord of Darkness want to kill the two unicorns?,DESC,reason
"According to the deal Soames made, how would he find out whether his poetic talent would have been recognized in the future? ",DESC,manner
What is unique about the phonetic spelling of the 'future' article that discussed Beerbohm's story?,DESC,reason
What motivates Julio to fight in the war?,DESC,reason
Why does Hedy kill Sam?,DESC,reason
"At first, what causes the tension between the scientists and soldiers?",DESC,reason
Why did Ralph commit suicide?,DESC,reason
What happens to Nella as a result of following Miss Spencer to the house in Ostend?,DESC,desc
What is the Glad Game?,DESC,desc
Who was Daffy?,HUM,ind
What does Atropos tell the Gods he wants?,DESC,desc
Who are the Awgwas' allies?,HUM,ind
Why does David lose the debate with the governor of Texas?,DESC,reason
How does Bishop Drake get shot?,DESC,manner
How does Carver attempt to start a war between Britain and China?,DESC,manner
Why doesn't Champernell fight back against Dinant and Cleremont when they confront him at his own wedding?,DESC,reason
Who was caecilius and what was he reffered later?,HUM,ind
What is a reason Darwin delays writing his manuscript?,DESC,reason
What happens after the letter is printed?,DESC,desc
Why does Dr. Faust contemplate suicide?,DESC,reason
Why does Vivie disown her mother?,DESC,reason
How is Wesley killed?,DESC,manner
"What did John learn about Nadia, Yuri and Alexei?",DESC,desc
What was Darwin trying to figure out regarding the length of the stamens in the two varieties of cowslip plants?,DESC,desc
What does Holmes ask Dr. Watson to do at 6 p.m.?,DESC,desc
What does tradition say takes place the night before the death of a Duke of Dorset?,DESC,desc
Why is Agent Isabella Molina in Hong Kong?,DESC,reason
How did Wellington Yueh betray Leto?,DESC,manner
Why is Shoshanna living under an assumed name in Paris?,DESC,manner
Why does Rosalie's family not hear from her?,DESC,reason
Why was Sonny able to violate the Three Laws of Robotics unlike the assembly-line NS-5 robots?,DESC,reason
What does Capote want from Smith?,DESC,desc
What are the main forces controlling the action in this story?,DESC,desc
What is the basic premise of Nordau's writings?,DESC,desc
Why does Moco shoot Azul and Domino?,DESC,reason
Why does Sam break down during the trial?,DESC,reason
How does Lucy win Lady Lufton's approval to marry her son?,DESC,manner
What causes Werther embarrassment?,DESC,reason
How does Hartill place blame on Durand for Louise's death?,DESC,manner
Why was John summoned to his boss's office?,DESC,reason
Why is Philaster not the king at the beginning of the story?,DESC,reason
Why does McClane follow two men into the baggage area of the airport?,DESC,reason
What did the game's programmer do when he found out about the use of the dead boy's brain cells?,DESC,desc
How do the events with the CD begin?,DESC,manner
What did Harriet tell Emma upon learning about Frank's engagement?,DESC,desc
How does Marin react when Harry apologizes to her?,DESC,manner
What causes all of the machinery on Earth to seize up and stop working?,DESC,reason
How did Miller's attitude toward Beckett change?,DESC,manner
How does Rebecca die?,DESC,manner
What is assignment 033 33?,DESC,desc
Why does Brassbound dislike Sir Howard?,DESC,reason
What was Paul and Amanda Kirby's ruse to get onto Isla Soma?,DESC,desc
What is Weir's theory?,DESC,desc
"Why does Mrs. Merrick really allow her daughter, Louise, to go on the trip to Europe?",DESC,reason
How does Castor as Archer begin to take over Archer's life?,DESC,manner
Who is Mamie Mannering?,HUM,ind
What is Skynet?,DESC,def
What do the characters  tend to fear?,DESC,desc
Why does the Prime Minister disguise himself as a woman?,DESC,reason
What begins to give the depressed doctor Max Lowe new hope in life?,DESC,desc
What is the main reason a second ship is sent out towards Alpha Centauri?,DESC,reason
Why did Burke send the colonists to the derelict spaceship?,DESC,reason
Why does Mike feel happy having an ally?,DESC,reason
What was the crisis situation that brought Maverick and Iceman together in a flight mission at the end of the story?,DESC,desc
Why does Justice get hurt on the road trip?,DESC,reason
Why is Stew investigating the life of playboy Michael Schuyler?,DESC,reason
Why was there a court case?,DESC,reason
What alerted Archy to Lenny's double-dealing with police?,DESC,desc
How does Disney finally find common ground to work with Travers on the project when she pushes back over the depictions of characters?,DESC,manner
Why does Barnes attack Taylor with a dagger?,DESC,reason
Why do Ali and Anna have a disagreement that ended with him moving out of her house?,DESC,reason
What two things does Dalgard hope to accomplish by exploring the city?,DESC,desc
What would have happened to the President if he would not have made it to an escape pod?,DESC,desc
Why does William travel to the court of King Zweno?,DESC,reason
What does Euripides challenge Aeschylus for?,DESC,desc
"What happens when Truman and Meryl go on an impromptu road trip in Seahaven, Florida?",DESC,desc
Why does mud work as camouflage while battling the alien?,DESC,reason
Why was Cindy called early morning by her boss Dr. Feinberg?,DESC,reason
Who is Donnie Smith?,HUM,ind
How does Martin die?,DESC,manner
What happens that gives the Rougons new hope for increased power and success later in life?,DESC,desc
What is Motss' response to the obvious setbacks that his plan incurs?,DESC,desc
What is the choice Ross Murdock has on being captured?,DESC,desc
What does Holmes discover about the Hounds of the Baskervilles?,DESC,desc
What happens to Matt after the tire on their car blows out?,DESC,desc
What does Martin's mother do after she sees Martin?,DESC,desc
Why must June choose between romance and family?,DESC,reason
Why is Marina's life in danger while at Tarsus?,DESC,reason
What does Pearl say has to be destroyed to put Jimmy Bones at rest?,DESC,desc
What does Hancock do to show his gratitude to Ray Embrey?,DESC,desc
Why may the military be called to take action in this even of the killer birds?,DESC,reason
What is the outcome of the wrongful death case?,DESC,desc
What happens on day 488 of their relationship?,DESC,desc
"Who are the ""Wolves"" trying to trick into avoiding their own settlements?",HUM,ind
How does Beowulf's own destiny repeat that of King Horthgar's?,DESC,manner
How does Remington plan to trap and kill The Ghost and The Darkness?,DESC,manner
What did Alex realize after watching a news report about the plane explosion?,DESC,desc
Why does Ripley think she and Newt were locked in a room with facehuggers?,DESC,reason
"In the early part of the story, why is Stanley unable to visit his daughter Holly?",DESC,reason
How does Onegin meet Vladimir Lensky?,DESC,manner
What do the Arisians task Samms to do?,DESC,desc
What was Lincoln's views on the Corwin Amendment?,DESC,
What doesn't Keyes believe that Dietrichson committed suicide?,DESC,reason
"Why does the Ocean's group scramble so hard to meet the demands of Terry Benedict, the casino owner who was stolen, from?",DESC,reason
How do Peter and Joanna meet?,DESC,manner
Why were Sykes and Tugger involved in the shootout?,DESC,reason
Why does Sykes partner with Francisco?,DESC,reason
How does Col Landa known that Bridget von Hammersmark is working with the Allies?,DESC,manner
Why is Coun Hugret de Serizy traveling incognito?,DESC,reason
Why does Bruno Frye keep attacking Hilary?,DESC,reason
Who did Gussie propose to when Madeline broke off their engagement and who did it upset?,HUM,ind
What happens to the Gyro Captain?,DESC,description
Why did Anakin and Padme go back to tattooine?,DESC,reason
What was the story Lizzie reminds Laura about?,DESC,desc
What is Ken's solution to the comet's tail dust to fall out of the atmosphere?,DESC,desc
Why does Winnie sign over her $100 million trust fund to Jacob?,DESC,reason
How is Grace forced to leave her aunt's residence?,DESC,manner
What does Easy's father think of Easy joining the Navy?,DESC,desc
Why does Sara spend Thanksgiving with Rebecca?,DESC,reason
What ultimatum is given by the leader of the Black Lectiods?,DESC,desc
Why do you think Anna traveled alone to Moscow?,DESC,reason
Why is the Velveteen rabbit disgarded in the garden?,DESC,reason
How does Bond react to finding nuclear torpedos on the L-39 Albatros?,DESC,manner
Why does Elsa choose to marry Be'la instead of waiting for Andor?,DESC,reason
What was on the motion picture reel that Alfredo left for Salvatore?,ENTY,other
What leads to Alaric's downfall?,DESC,manner
What is odd about the way Harold is found dead?,DESC,desc
What did Faust and Mephistopheles agree to in their contract?,DESC,desc
How does Joe use the elements of his repetitive dream to get to the radio signal-emitting Asteroid?,DESC,manner
What starts causing family issues right after Debbie confronts Desi and fires Jodi about stolen money?,DESC,reason
What is puzzling about the Duke of Wellington?,DESC,desc
How did Carl plan to get his home to Paradise Falls?,DESC,manner
What powers does the Lens provide Samms?,DESC,desc
What is the condition that Brewster's uncle makes for giving him the inheritance?,DESC,reason
Why did Nikolai's marriage plans to Anna get ruined?,DESC,reason
How did David and Jennifer get to Pleasantville?,DESC,manner
Why has Justice Overdo attended the fair in costume?,DESC,reason
How does Neff first meet Phyllis?,DESC,desc
Why does Robert leave Edna forever?,DESC,reason
What does the King do at the end of the story?,DESC,desc
What was Taejo's true motive in getting Speed to race?,DESC,reason
What does Marcella Moxey leave Godwin?,ENTY,currency
What is the relationship between Hilary and Clemenza?,DESC,desc
Why does Billy believe that there are seven keys to Baldpate Inn?,DESC,reason
What was the note refering to?,DESC,desc
What is pointed out in the epilogue?,DESC,desc
What does Nick's mom tell him at Thanksgiving?,DESC,desc
How does the group escape when cornered by the Mola Ram?,DESC,manner
Why did Fede and Linda put Art Berry in insane asylum?,DESC,reason
When he escapes from the asylum how does Duncan meet Tracy?,DESC,desc
"As a child, why does Robin refer to Feather as The Woman Downstairs?",DESC,reason
What must fairies and other magical inhabitants of Kensington Garden do during the day?,DESC,desc
What happens on January 1st of 188x?,ENTY,event
Why do the Terran's lose a great number of forces?,DESC,reason
What was Yorgi's plan involving Silent Night?,DESC,reason
What happens to the necklace in the end?,DESC,desc
Why is Lazarus being so mad all the time?,DESC,reason
Where is the $70 million ransom drop to be delivered?,LOC,other
Why does Schultz kill Candie?,DESC,reason
Why is it ironic that Mortimer falls in love and marry Elaine?,DESC,reason
How does Wilbur die?,DESC,manner
What does watson hear during the night at Baskerville Hall?,DESC,desc
What is Jacob Moore's goal in the story?,DESC,desc
What does Iola do after the war?,DESC,desc
What does Elder Childers argue?,DESC,desc
Who is Gladys Leeman?,HUM,ind
Why did Reginald and Leo make up the stories about the assault and adultery?,DESC,reason
How can A Shropshire Lad be read?,DESC,manner
What is the source of General Heatherstone's dismay?,DESC,reason
What did the doctor do to the Baroness to cause her to feel subdued?,DESC,desc
What is Zerophilia?,DESC,def
How did he become invisible?,DESC,manner
How did Ocsar come to fall in love with Lucilla?,DESC,manner
What did Debbie's dad decide to do to try and break up Rick and Debbie?,DESC,desc
Who is Alexa Woods?,HUM,ind
What criminal crime did dickey commit that caused him to get arrested ?,DESC,desc
How does Gill's plan to trick the shepherds backfire?,DESC,reason
What were Pearce's written instructions to Elise?,DESC,desc
What does Dr. Watson overhear back at Holmes residence?,DESC,desc
How did Inspector Lee end up in Los Angeles?,DESC,reason
What happens after Samms gathers enough Lensman?,DESC,desc
Why did Van Houten attend Augustus's funeral?,DESC,reason
Where did Rebecca and Enid learn of Seymour?,ENTY,other
Why is it that Bobby and Joseph almost get into a physical altercation?,DESC,reason
What happens to Eleanor when she finally leaves Hill House?,DESC,reason
Why is it unlikely that Billy will be interrupted at the Baldpate?,DESC,reason
Why did Mrs. Crayton pretend to not know Charlotte?,DESC,reason
Why was a no-return directive issued to autopilots?,DESC,reason
What does Haw do at the end of the story?,DESC,desc
What helps give the story a feeling of being actual?,DESC,reason
What did section 2 of the 4 tiled schemes for social improvement?,DESC,reason
How did Jenson discover that the mission in Bolivia was a cover for Max's real plan?,DESC,manner
Why does Rita agree to take Sam's case?,DESC,reason
How does Hooker convince Lonnegan to go along with the scheme?,DESC,manner
What does Whig Mr. Sowerby ask Mark to do?,DESC,desc
What was Dr. Vladimir Nechorvich bringing with him to give to the IMF?,DESC,desc
Does Edmee willing want to marry Bernard?,DESC,reason
How does the Reaper Virus affect vampires?,DESC,reason
How does Ozma ensure that the Nome King and allies forget their plans?,DESC,manner
Why is Gretchen locked in the windmill?,DESC,reason
Why does Luther shoot at Jack?,DESC,reason
What is the Mariner's penance for shooting the albatross?,DESC,desc
What do Roxanne and Megamind find in Metro Man's lair?,DESC,desc
How did Letitia learn the truth about Billy?,DESC,manner
What warning does the narrator give Zee once they reach the surface?,DESC,desc
"When Jimmy is about to go to prison, what is the reason Miller gives Jimmy for not coming forward yet?",DESC,reason
What does Fletcher realize after winning the case?,DESC,desc
What happens when Peter lights Charley on fire and what does he toss Charley?,DESC,desc
What happens after Lisa has sex with Caije?,DESC,desc
What leads Tom's boss to move him to the consolations department at the company?,DESC,reason
What happened after Wesley carried Jessica's body into the sea?,DESC,desc
Why is Julia upset when she finds Julia setting for a portrait for Nick?,DESC,reason
How does Schindler persuade the SS guards when the Red army is coming not to kill the Jews?,DESC,manner
How does Lateesha throw off the FBI about the robbery?,DESC,manner
How is the Stratosphere destroyed?,DESC,reason
How does Father Ambrose convince Bella to have sex with him?,DESC,manner
Why does Bella go along with Father Ambrose and his scheme?,DESC,reason
How does Rosmer take Kroll's attacks on him?,DESC,manner
Why is Roland accused of pride by critics in the 'Song of Roland'?,DESC,reason
What happens to Mackleway at the carnival?,DESC,desc
Why do the Predators visit Earth?,DESC,reason
What is Alex's premontion at the airport?,DESC,desc
"While hiding out in the cabin, what did Alex recall?",DESC,desc
How do the shepherds' views of Mary contrast to their views of other women?,DESC,manner
What happens to Lesha and Chicago at the barbecue?,DESC,desc
Why is Stanley forbidden to use a computer?,DESC,reason
How does the Duke decide to stop the undergraduates from committing suicide for love of Zuleika?,DESC,manner
What does Emmeline discover in France?,DESC,desc
"Where do Pierre, Isabel, and Delly find rooms in New York City?",LOC,other
How does Radio Raheem die?,DESC,manner
What is Charles Muntz famous for?,HUM,desc
Why does Peter Vincent initially not help Charley?,DESC,reason
Why does Augustine believe that her relationship is strained?,DESC,reason
Why was Lighnin' Bill not home with his wife and adopted daughter?,DESC,reason
How did Lighnin' Bill and John Marvin win the case?,DESC,manner
Hhow did the English ships suddenly gain an advantage over the Armada ships once these arrived?,DESC,manner
Why does Miles ask Marilyn out to dinner?,DESC,reason
Why does Simon say he will resign?,DESC,reason
Why does Rebecca tell Seymour about Enid's prank phone call she made to him?,DESC,reason
Why is the USS Ethan Allen blown up?,DESC,reason
Why does Apollo leave Admetus' palace?,DESC,reason
Why did Duroy want to catch Madeleine having an affair?,DESC,reason
Why is Stephen strapped at school?,DESC,reason
Why did August hire Jacob?,DESC,reason
How did Prince Prospero die?,DESC,manner
What reason does Anna give to Mark for not wanting to marry him?,DESC,reason
Where does Tolstoy die?,LOC,other
What series of stories is Paul known for writing?,ENTY,creative
Why Shari left Ed?,DESC,reason
Why does Willow take the baby away from the village?,DESC,reason
Why did Mike Morris agree to Stephan's demands?,DESC,reason
Who does Joe Doe turn out to be?,HUM,ind
How does Sarrasine meet his demise?,DESC,manner
Why did Billy and Ganz kidnap Rosealie?,DESC,reason
How does Zoe save Zed?,DESC,manner
Why does Jordan wear a wire to work?,DESC,reason
Who do Mitchell and Henry Connell hire to play Dear John?,HUM,ind
Why is Deloris fired as choir director?,DESC,reason
Who does O'Ryan end up killing outside the bar?,HUM,ind
Why did the murders intentionally set up the road block to trap the group of friends?,DESC,reason
What is Ben Du Toit's profession in the story?,HUM,title
What was Lincoln's views about the states that already incorporated slavery?,DESC,
How did Stella obtain the picture?,DESC,manner
"At the ball, why is Pheobe initionally annoyed with capitan Brown?",DESC,reason
Why was Simone generated?,DESC,
Why does the narrator seek a room of her own?,DESC,reason
Who does the narrator try to compare the Captains stories to?,HUM,ind
Why does Truman Capote travel to Kansas?,DESC,reason
Why is Capote unable to complete his work?,DESC,reason
How does the monkey die?,DESC,manner
Who is Holdebrooke?,HUM,
Why were Odysseus and Diomedes instructed not to kill Hector?,DESC,reason
What does Senator Kelly do?,DESC,desc
Why does Megamind name Hal 'Titan'?,DESC,reason
Who is Sandy Campbell?,HUM,ind
"What does ""closing the loop"" mean?",DESC,def
What is the purpose behind Alfred Pennyworth retiring?,DESC,reason
Who does Jeff tell about the suspected murder?,HUM,ind
Who creates Jurassic Park?,HUM,ind
Explain the relationship between Dave Klein and Erica?,DESC,desc
What did Gorbrius do that made Arbaces love Panthea?,DESC,desc
What does Zee do with the narrator instead of Taee killing him?,DESC,desc
How does Scott trick Martin into coming to her home?,DESC,manner
How does Beckett's law partner feel about betraying Beckett?,DESC,manner
What is the Psammead?,DESC,def
Why was Professor Plum's medical license revoked?,DESC,reason
Why does Jack agree to fight Sir Lucius?,DESC,reason
What idea was given by Michael Ardan?,DESC,desc
Who are the members of the Fantastic Four?,HUM,ind
At Castle Brunwald who does Indiana Jones learn that Elsa and Donovan are actually working with?,HUM,ind
Who is Monkeybone?,HUM,ind
What causes Lila to leave nature and return to society?,DESC,reason
What was Dr. Nathan Bronfman trying to research?,DESC,desc
What makes the Carthaginians suspect that Salammbo had something to do with the veil being stolen?,DESC,reason
Why does Udall agree to pay for Spencer's medical care?,DESC,reason
Why did future Spock want to make a black hole?,DESC,reason
Why does Claude return home for a second time?,DESC,reason
"How did Simon come to be called ""The Saint"" as an adult?",DESC,manner
What are the primary characteristics of the people of the house?,HUM,ind
What did Christopher Columbus teach Captain Mendez while they were traveling on the Santa Maria?,DESC,desc
What animals are in the Furious Five?,ENTY,animal
Who governs the Metal city?,HUM,ind
To whom will Clough threaten a sever punishment?,HUM,ind
What is the real identity of Mr. Eddy?,HUM,desc
What does Ferdinand enjoy the most?,DESC,desc
What happens to the grown-up Ferdinand?,HUM,desc
What does Martha say to Lucy when she is told that she has to leave the lake house?,DESC,reason
In the biginning of the story why is there unrest in Laurania?,DESC,desc
Who do Dorothy and Toto meet in Oz first who gives them directions?,HUM,ind
What did Mrs. Sennett give Vada when she went to visit her?,ENTY,other
Why did Maguire give up on trying to marry Mackenzie?,DESC,reason
Which of Christopher's choices made his parents the most nervous?,DESC,desc
Why does Tom Driscoll have no place in society after his true identity is returned?,DESC,reason
What does Roxie do so that she and her son are not sold?,DESC,desc
What two families are emphasized in the story?,ENTY,word
What is happening to Tweel when Jarvis first discovers him?,DESC,desc
Who resuces Jarvis from his battle with the cart creatures?,HUM,ind
What is Cohen's plan to prevent the company from losing money?,DESC,desc
What job does Athos Roussos hold?,HUM,title
Who is Edwin Dodd?,HUM,ind
How is the second Frye twin killed?,DESC,desc
Why did Mary get fired?,DESC,reason
What makes Katharine attractive to the king?,DESC,reason
Who is Albert Werper?,HUM,desc
What causes Clear and Eugene's death?,DESC,reason
Why is Withnail pulled over by the police?,DESC,reason
What did Withnail and Marwood found at their flat when they got home?,ENTY,other
What happens with the woman?,DESC,desc
Why does Jane not tell Jack about his father's past?,DESC,reason
Who is Mr. Kim?,HUM,desc
Who was Mrs Proudie?,HUM,desc
Why does Doctor Ian Malcolm agree to go to Isla Sorna?,DESC,reason
When had Pyotr and Pugachev first met?,NUM,date
What does Jack Ferriman plan to do once the Antonia Graza is repaired?,DESC,desc
Why does Ordell go to Max's office?,DESC,reason
What role does Queen Guinevere play in the relationship between Alexander and Soredamors?,HUM,title
How does Helen escape her destined fate from the Gods?,DESC,manner
With whom does Lucien leave Angouleme at the end of the story?,HUM,ind
"How are murders predicted and stopped in Washinton, D.C. 2054?",DESC,manner
Why did Mr. Dengate pay Maurice?,DESC,reason
What phrase would Mrs. O'Hara repeat endlessly at the asylum?,DESC,desc
What does Trina do with her lottery winnings after withdrawing them from the firm?,DESC,desc
What does Dr. Dolittle find out from catching a Jabizri?,DESC,desc
How does Miss Moppet become injured?,DESC,manner
What does Tocqueville think is the motivation for the dangerous extremes people might go to in the future?,DESC,reason
How do Mary Poppins and the children end up in the countryside?,DESC,manner
How did Rasputin gain his powers?,DESC,manner
What do Dmitri and Vladimir decide to do?,DESC,desc
"What does the word ""state"" refer to?",DESC,def
What happened to Prospero and his guests?,DESC,desc
What happens when Jack sounds the alarm?,DESC,desc
Why does Madeleine Lee go to Washington?,DESC,reason
What kinds of jobs do valids qualify for?,HUM,title
How is Yellow Chief's true identity revealed?,DESC,manner
What happens in 1996?,DESC,desc
What is Elliot doing when he first discovers E.T.?,DESC,desc
"Before boarding his ship, how does E.T. show Elliot he will always remember him?",DESC,manner
What is Harvey Shine's profession?,HUM,title
How was Earhart able to pay for all her flying?,DESC,manner
Why was Tom in the church?,DESC,reason
Why did money have to be collected from local banks?,DESC,reason
"As a modern man, what is Hector trying to accomplish?",DESC,desc
Where did Mike live before he lived in LA?,LOC,city
Why didn't Ploni Almoni want to marry Ruth?,DESC,reason
What do Haytham and Skyes discover while searching through the evidence?,ENTY,other
Who discovers the bodies of Captain Robertson and his first mate?,HUM,ind
Why do Michelle and her children need help from the Blues?,DESC,reason
Why is Lucy teased about her father?,DESC,reason
What arrangement did Sam and Randy agree upon at the end?,DESC,desc
How is Indy brought out of his trance?,DESC,manner
Why did Muriel went to India?,DESC,reason
Which train did four armed men board?,ENTY,veh
What does Bruno steal from Guy on the train?,ENTY,other
Where does Lucie spot cloths laying?,LOC,other
Why did Baron Conrad left the castle undefended?,DESC,reason
How is Sleeny found not guilty of killing Offitt?,DESC,manner
The massive survellince system NUVR has is being used for what purpose?,DESC,def
What does RIck suggest to Steven in the beginning of the story?,DESC,desc
Who is the hero and heroine in the story?,HUM,ind
Why was Lauren killed?,DESC,reason
What are police investigating at the beginning of the story?,DESC,desc
Why did Smith reprogrammed the robot?,DESC,reason
Why did Cindy leave the motel early in the morning?,DESC,reason
Why does Ahmed want to send Dana away from him?,DESC,reason
Why did Dorian blame Basil?,DESC,reason
How does the German trick Robin into entering a house of ill repute?,DESC,manner
"As the audience is first introduced to Coombe, what is understood of his personality?",HUM,desc
What do the six kids find after the train crashes into the pickup truck?,ENTY,other
What is surprising about Valerian?,HUM,desc
As of 48 BC what battle has not occured yet?,DESC,def
How does Kim want to try to reverse the evil things happening?,DESC,manner
Who is Sloane Hopkins?,HUM,desc
How does Sandy climb the ladder?,DESC,manner
How did Nelly and Benny survive after running away from home?,DESC,manner
What fulfilled Cousin's fiance the most?,DESC,desc
What experience is Karl haunted by that occured when he was eight?,DESC,desc
"Why did Karl's brother ""come too soon""?",DESC,reason
What does Bastian see while flying on Falkor's back?,ENTY,other
How does Uncle Henry try to get out of debt?,DESC,manner
"While stranded in Zoboru, how will the three starmen and flitter pilot know if Lumbrilo is tracking them?",DESC,manner
What upsets Louis about Emily?,HUM,desc
Who is Scott Roper?,HUM,desc
What really happened to the people of Tylerton?,DESC,desc
Why do police detectives Rodriguez and Divinci murder the drug dealer Lionel Hudd?,DESC,reason
How did Rachel become the owner of a baseball team?,DESC,manner
Why did Caesar pull a gun on Violet?,DESC,reason
Why was Jeanne suddenly disillusioned about her relationship with Paul?,DESC,reason
When did Suzy and Sam meet?,NUM,date
Who do Pinhead resurrect?,HUM,ind
Where does Joey bury the puzzle box?,LOC,other
Who is Jewel?,HUM,desc
Where does Maximych get Pechorin's diary?,LOC,other
Why does Lazarus chain Rae to the radiator?,DESC,reason
Who was expected to take over as bishop after the previous one died?,HUM,ind
What does Scott discover on the Jerry Springer show?,ENTY,other
When does Austin first discover that his mojo has been stolen?,NUM,date
Jonathan arrives with who?,HUM,ind
What happens to the invisible monster after Wilbur's death?,DESC,desc
What does Aubrey realize about Ruthven after he dies?,HUM,desc
What happens to Ted's son at the park?,DESC,desc
Why does Boris commit suicide?,DESC,reason
Why was Laura horrified at the stream?,DESC,reason
How does the mariner lose the albatross from around his neck?,DESC,manner
What action does Aeneas dissuade Hector from completing?,DESC,desc
How do Therese and Laurent decide to deal with their growing discontent?,DESC,manner
Why did Metro Man fake his death?,DESC,reason
What is this story a fictional account of?,DESC,desc
Whose bodies were found in the car?,HUM,ind
What does Edward do to allow all three of his children to live?,DESC,desc
Who speaks the last line in the story?,HUM,ind
Why did Wayne discontinue the fusion reactor project?,DESC,reason
Why did Mapache get mad at Angel?,DESC,reason
What does Harry do in the six months between the play and Paris?,DESC,desc
Why does Harry end up staying with Erica after his heart attack?,DESC,reason
What decimates the population of Ken's town?,ENTY,other
How does Harley find out about the affair?,DESC,manner
What happened to Willie Stark's son?,HUM,desc
How is Samsthanaka freed?,DESC,manner
What does Cesar often mention in conversation regarding the uprising against the Republic?,DESC,desc
What patent did Doug and J.C.'s late father sell?,DESC,desc
Where did Jackie Moon get the lyrics for his song?,LOC,other
Why does Jackie trade Withers to the Spurs?,DESC,reason
What does Joe Bronson do instead of studying for his school exam?,DESC,desc
Why do Cleon and Dionyza plan to kill Marina?,DESC,reason
Why was Carnehan let go after he survived crucifixion?,DESC,reason
Who is Thunderheart?,HUM,desc
Where did the murder take place?,LOC,other
What did Bern predict about Jane's future?,DESC,desc
What does Tracy do after her encounter with Rebecca in the shower?,DESC,desc
How was Adam Salton planning to kill the White Worm?,DESC,manner
Why does Richard Salton wish to contact his nephew Adam?,DESC,reason
Why is Jim in Budapest?,DESC,reason
When did the girl fall from the balcony?,NUM,date
"After much misfortune, what victory does the man accomplish?",DESC,desc
How does Rose feel about Mac at first?,HUM,desc
What does Robert do that makes his wife suspicious of him?,DESC,desc
Who was Ramona's second ex?,HUM,ind
When did Scott leave the band?,NUM,date
Who does Maya befriend in her adventures?,HUM,ind
What was Jim's punishment for being found guilty?,DESC,desc
